항공사123,편명123,예정시간123,도착지공항123
대한항공,KE467,202403091830,나트랑
대한항공,KE461,202403091830,다낭
대한항공,KE623,202403091835,마닐라
대한항공,KE645,202403091835,싱가포르
대한항공,KE5031,202403091835,댈러스포트워스
대한항공,KE781,202403091840,후쿠오카
대한항공,KE455,202403091840,하노이
대한항공,KE705,202403091845,도쿄/나리타
대한항공,KE401,202403091845,시드니
대한항공,KE5035,202403091845,애틀랜타
대한항공,KE615,202403091850,세부
대한항공,KE689,202403091855,프놈펜
대한항공,KE743,202403091900,나고야
대한항공,KE853,202403091900,베이징/서우두
대한항공,KE653,202403091905,방콕/수완나품
대한항공,KE721,202403091905,오사카/ 간사이
대한항공,KE895,202403091905,상하이/푸동
대한항공,KE1433,202403091925,대구
대한항공,KE5033,202403091925,미니애폴리스
대한항공,KE1427,202403091935,김해
대한항공,KE477,202403091935,호찌민
대한항공,KE5757,202403091935,비엔티안
대한항공,KE011,202403091940,로스앤젤레스
대한항공,KE407,202403091945,브리즈번
대한항공,KE177,202403092000,홍콩
대한항공,KE625,202403092005,마닐라
대한항공,KE5019,202403092005,시애틀
대한항공,KE5781,202403092005,세부
대한항공,KE673,202403092010,방콕/수완나품
대한항공,KE659,202403092015,방콕/수완나품
대한항공,KE053,202403092035,호놀룰루
대한항공,KE085,202403092035,뉴욕/존에프케네디
대한항공,KE719,202403092040,도쿄/하네다
대한항공,KE5693,202403092055,타이베이
대한항공,KE5769,202403092110,다낭
대한항공,KE7895,202403092125,호놀룰루
대한항공,KE5763,202403092135,클라크필드
대한항공,KE647,202403092310,싱가포르
대한항공,KE5951,202403092340,두바이
대한항공,KE5649,202403100005,신 울란바토르
대한항공,KE5925,202403100055,암스테르담
대한항공,KE5679,202403100615,나트랑
대한항공,KE5075,202403100650,후쿠오카
대한항공,KE1405,202403100700,김해
대한항공,KE5749,202403100705,키타큐슈
대한항공,KE5845,202403100725,옌타이
대한항공,KE5741,202403100730,도쿄/나리타
대한항공,KE621,202403100745,마닐라
대한항공,KE197,202403100745,신 울란바토르
대한항공,KE787,202403100800,후쿠오카
대한항공,KE441,202403100805,하노이
대한항공,KE755,202403100805,오키나와
대한항공,KE827,202403100815,선전
대한항공,KE171,202403100820,홍콩
대한항공,KE1407,202403100825,김해
대한항공,KE893,202403100825,상하이/푸동
대한항공,KE5061,202403100830,삿포로
대한항공,KE771,202403100845,오카야마
대한항공,KE831,202403100850,선양(심양)
대한항공,KE5071,202403100850,오사카/ 간사이
대한항공,KE865,202403100855,광저우
대한항공,KE819,202403100855,장사
대한항공,KE5879,202403100855,상하이/푸동
대한항공,KE723,202403100900,오사카/ 간사이
대한항공,KE185,202403100900,타이베이
대한항공,KE845,202403100905,칭다오
대한항공,KE469,202403100910,호찌민
대한항공,KE657,202403100915,방콕/수완나품
대한항공,KE421,202403100915,괌
대한항공,KE137,202403100915,우한
